age,m,w,avg
0,0.01,0.01,0.01
1,0.1,0.1,0.1
2,0.2,0.2,0.2
3,0.3,0.3,0.3
4,0.4,0.4,0.4
5,0.5,0.5,0.5
6,0.6,0.6,0.6
7,0.8,0.8,0.8
8,0.8,0.8,0.8
9,0.9,0.9,0.9
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1.1,1,1.05
15,1.15,1.1,1.125
16,1.2,1.15,1.175
17,1.2,1.15,1.175
18,1.2,1.15,1.175
19,1.2,1.15,1.175
20,1.2,1.15,1.175
21,1.2,1.15,1.175
22,1.2,1.1,1.15
23,1.2,1.1,1.15
24,1.2,1.05,1.125
25,1.2,1,1.1
26,1.2,1,1.1
27,1.2,1,1.1
28,1.1,1,1.05
29,1.1,1,1.05
30,1.1,1,1.05
31,1.1,1,1.05
32,1.1,1,1.05
33,1.1,1,1.05
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,0.9,0.8,0.85
57,0.9,0.8,0.85
58,0.9,0.8,0.85
59,0.9,0.8,0.85
60,0.8,0.7,0.75
61,0.8,0.7,0.75
62,0.8,0.7,0.75
63,0.8,0.7,0.75
64,0.8,0.7,0.75
65,0.8,0.7,0.75
66,0.8,0.7,0.75
67,0.8,0.7,0.75
68,0.8,0.7,0.75
69,0.8,0.7,0.75
70,0.8,0.7,0.75
